LEA Code,LEA Name,School Code,School Name,Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Ungraded
115,DC Prep PCS,1066,Lt. Joseph P. Kennedy Institute,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,DC Prep PCS,1249,North Spring Behavioral Health Care Leesburg VA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,DC Prep PCS,1013,Phillips School Laurel Laurel MD,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,DC Scholars PCS,1020,Childrens Guild Prince Georges Chillum MD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,DC Scholars PCS,3070,DC Scholars PCS,515,61,59,66,46,72,49,42,40,20,43,17,0,0,0,0,0,0
170,DC Scholars PCS,1015,Monroe School DC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1049,Accotink Academy Therapeutic Day School Springfield VA,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,645,41,49,53,55,73,60,85,80,76,51,22,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1044,Episcopal Center for Children DC,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1012,Phillips School Annandale Annandale VA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1013,Phillips School Laurel Laurel MD,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1078,Reginald S Lourie Center Rockville MD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Democracy Prep Congress Heights PCS,1081,The Foundation School at PG County,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
181,District of Columbia International School,1049,Accotink Academy Therapeutic Day School Springfield VA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,District of Columbia International School,248,District of Columbia International School,804,0,0,0,0,0,0,0,0,243,182,170,125,84,0,0,0,0
181,District of Columbia International School,1051,Ivymount School Rockville MD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,District of Columbia International School,1079,Katherine Thomas School Rockville MD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,District of Columbia International School,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,District of Columbia Public Schools,1434,Abraxas I Marienville PA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1096,Accotink Academy Alternative Learning Center Springfield VA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,District of Columbia Public Schools,1049,Accotink Academy Therapeutic Day School Springfield VA,31,0,0,0,0,0,1,0,1,0,0,3,13,1,6,6,0,0
1,District of Columbia Public Schools,202,Aiton Elementary School,243,31,43,39,33,20,21,30,26,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,351,25,40,37,45,50,49,46,59,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,450,Anacostia High School,379,0,0,0,0,0,0,0,0,0,0,0,89,91,83,95,0,21
1,District of Columbia Public Schools,452,Ballou High School,880,0,0,0,0,0,0,0,0,0,0,0,267,169,239,196,0,9
1,District of Columbia Public Schools,462,Ballou STAY High School,495,0,0,0,0,0,0,0,0,0,0,0,88,45,71,67,224,0
1,District of Columbia Public Schools,204,Bancroft Elementary School @ Sharpe,544,43,57,80,78,68,78,67,73,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,205,Barnard Elementary School,642,61,84,90,80,88,79,86,74,0,0,0,0,0,0,0,0,0
