Service Tag,System Family,System LOB,System Model,System Ship Date,Time from ship,System Description,Active Service Calls,Service Description,Service Type, Service Provider, Service Start Date,Service End Date,Days Remaining,Group Name,
8YFCCC1,OptiPlex,Desktops & All-in-Ones,OptiPlex 745,01/09/2007,4126,,,Keep Your Hard Drive Service,KK,,01/09/2007,01/09/2008,0,,
8YFCCC1,OptiPlex,Desktops & All-in-Ones,OptiPlex 745,01/09/2007,4126,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/09/2007,01/09/2008,0,,
90RX4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,ProSupport,TS,,01/10/2012,01/10/2013,0,,
90RX4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/10/2012,01/10/2013,0,,
90RM4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/10/2012,01/10/2013,0,,
90RM4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,ProSupport,TS,,01/10/2012,01/10/2013,0,,
90RQ4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,ProSupport,TS,,01/10/2012,01/10/2013,0,,
90RQ4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/10/2012,01/10/2013,0,,
90RS4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/10/2012,01/10/2013,0,,
90RS4S1,Latitude,Laptops,Latitude E5420,01/10/2012,2299,,,ProSupport,TS,,01/10/2012,01/10/2013,0,,
JM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/12/2011,01/11/2014,0,,
JM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/12/2011,01/11/2014,0,,
JM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/11/2010,01/11/2011,0,,
JM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/11/2010,01/11/2011,0,,
GM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/12/2011,01/11/2014,0,,
GM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/12/2011,01/11/2014,0,,
GM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/11/2010,01/11/2011,0,,
GM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/11/2010,01/11/2011,0,,
1N02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/12/2011,01/11/2014,0,,
1N02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/12/2011,01/11/2014,0,,
1N02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/11/2010,01/11/2011,0,,
1N02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/11/2010,01/11/2011,0,,
CM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/12/2011,01/11/2014,0,,
CM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/12/2011,01/11/2014,0,,
CM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/11/2010,01/11/2011,0,,
CM02VL1,OptiPlex,Desktops & All-in-Ones,OptiPlex 960,01/11/2010,3028,,,ProSupport,TS,,01/11/2010,01/11/2011,0,,
